sex,age_group,Total_cases,Total_deaths,Month,Year,Medcond,Race_ethnicity
Female,0 - 9 Years,5,0,1,2020,No,Hispanic
Female,0 - 9 Years,13,0,1,2020,No,White
Female,0 - 9 Years,21,0,1,2020,No,Other/Missing
Female,0 - 9 Years,1,0,1,2020,Yes,White
Female,0 - 9 Years,1,0,1,2020,Yes,Black
Female,0 - 9 Years,4,0,1,2020,No,Black
Female,0 - 9 Years,1,0,1,2020,Yes,Other/Missing
Female,0 - 9 Years,1,0,1,2020,Yes,Hispanic
Female,0 - 9 Years,16,0,2,2020,No,Other/Missing
Female,0 - 9 Years,3,0,2,2020,No,Hispanic
Female,0 - 9 Years,1,0,2,2020,Yes,Other/Missing
Female,0 - 9 Years,2,0,2,2020,No,White
Female,0 - 9 Years,1,0,2,2020,No,Black
Female,0 - 9 Years,230,0,3,2020,No,White
Female,0 - 9 Years,191,0,3,2020,No,Hispanic
Female,0 - 9 Years,578,0,3,2020,No,Other/Missing
Female,0 - 9 Years,25,0,3,2020,No,Asian
Female,0 - 9 Years,76,1,3,2020,No,Black
Female,0 - 9 Years,21,0,3,2020,Yes,Other/Missing
Female,0 - 9 Years,29,0,3,2020,Yes,White
Female,0 - 9 Years,29,1,3,2020,Yes,Hispanic
Female,0 - 9 Years,11,1,3,2020,Yes,Black
Female,0 - 9 Years,2,0,3,2020,Yes,Asian
Female,0 - 9 Years,474,1,4,2020,No,White
Female,0 - 9 Years,421,1,4,2020,No,Black
Female,0 - 9 Years,2139,0,4,2020,No,Other/Missing
Female,0 - 9 Years,1199,0,4,2020,No,Hispanic
Female,0 - 9 Years,94,0,4,2020,No,Asian
Female,0 - 9 Years,87,0,4,2020,Yes,Other/Missing
Female,0 - 9 Years,99,1,4,2020,Yes,Hispanic
Female,0 - 9 Years,38,0,4,2020,Yes,White
Female,0 - 9 Years,8,0,4,2020,Yes,Asian
Female,0 - 9 Years,30,0,4,2020,Yes,Black
Female,0 - 9 Years,899,0,5,2020,No,Black
Female,0 - 9 Years,2876,1,5,2020,No,Hispanic
Female,0 - 9 Years,4020,0,5,2020,No,Other/Missing
Female,0 - 9 Years,765,1,5,2020,No,White
Female,0 - 9 Years,172,0,5,2020,No,Asian
