sex,age_group,Total_cases,Total_deaths,Month,Year,Medcond,Race_ethnicity
Female,0 - 9 Years,17,0,1,2020,No,White
Female,0 - 9 Years,16,0,1,2020,No,Other/Missing
Female,0 - 9 Years,9,0,1,2020,No,Hispanic
Female,0 - 9 Years,4,0,1,2020,No,Black
Female,0 - 9 Years,1,0,1,2020,Yes,Other/Missing
Female,0 - 9 Years,1,0,1,2020,Yes,Hispanic
Female,0 - 9 Years,1,0,1,2020,Yes,White
Female,0 - 9 Years,1,0,1,2020,Yes,Black
Female,0 - 9 Years,4,0,2,2020,No,Hispanic
Female,0 - 9 Years,12,0,2,2020,No,Other/Missing
Female,0 - 9 Years,2,0,2,2020,No,Black
Female,0 - 9 Years,2,0,2,2020,No,White
Female,0 - 9 Years,1,0,2,2020,Yes,Other/Missing
Female,0 - 9 Years,553,0,3,2020,No,Other/Missing
Female,0 - 9 Years,235,1,3,2020,No,White
Female,0 - 9 Years,222,0,3,2020,No,Hispanic
Female,0 - 9 Years,76,1,3,2020,No,Black
Female,0 - 9 Years,27,0,3,2020,No,Asian
Female,0 - 9 Years,23,0,3,2020,Yes,Other/Missing
Female,0 - 9 Years,27,1,3,2020,Yes,Hispanic
Female,0 - 9 Years,12,1,3,2020,Yes,Black
Female,0 - 9 Years,2,0,3,2020,Yes,Asian
Female,0 - 9 Years,29,0,3,2020,Yes,White
Female,0 - 9 Years,435,1,4,2020,No,Black
Female,0 - 9 Years,96,1,4,2020,No,Asian
Female,0 - 9 Years,1485,0,4,2020,No,Hispanic
Female,0 - 9 Years,512,2,4,2020,No,White
Female,0 - 9 Years,1906,1,4,2020,No,Other/Missing
Female,0 - 9 Years,100,1,4,2020,Yes,Hispanic
Female,0 - 9 Years,94,3,4,2020,Yes,Other/Missing
Female,0 - 9 Years,43,1,4,2020,Yes,White
Female,0 - 9 Years,32,0,4,2020,Yes,Black
Female,0 - 9 Years,8,0,4,2020,Yes,Asian
Female,0 - 9 Years,3735,1,5,2020,No,Hispanic
Female,0 - 9 Years,916,0,5,2020,No,Black
Female,0 - 9 Years,798,0,5,2020,No,White
Female,0 - 9 Years,171,0,5,2020,No,Asian
Female,0 - 9 Years,3165,0,5,2020,No,Other/Missing
Female,0 - 9 Years,214,0,5,2020,Yes,Hispanic
Female,0 - 9 Years,19,0,5,2020,Yes,Asian
Female,0 - 9 Years,74,1,5,2020,Yes,White
Female,0 - 9 Years,127,1,5,2020,Yes,Other/Missing
Female,0 - 9 Years,88,0,5,2020,Yes,Black
Female,0 - 9 Years,1412,0,6,2020,No,Black
Female,0 - 9 Years,1825,1,6,2020,No,White
Female,0 - 9 Years,6547,4,6,2020,No,Hispanic
Female,0 - 9 Years,5379,0,6,2020,No,Other/Missing
Female,0 - 9 Years,242,0,6,2020,No,Asian
Female,0 - 9 Years,330,0,6,2020,Yes,Hispanic
Female,0 - 9 Years,154,0,6,2020,Yes,Other/Missing
Female,0 - 9 Years,151,0,6,2020,Yes,Black
Female,0 - 9 Years,146,1,6,2020,Yes,White
Female,0 - 9 Years,34,0,6,2020,Yes,Asian
Female,0 - 9 Years,9455,2,7,2020,No,Other/Missing
Female,0 - 9 Years,2865,1,7,2020,No,Black
Female,0 - 9 Years,4090,2,7,2020,No,White
Female,0 - 9 Years,8971,0,7,2020,No,Hispanic
Female,0 - 9 Years,333,0,7,2020,No,Asian
Female,0 - 9 Years,290,0,7,2020,Yes,Hispanic
Female,0 - 9 Years,140,1,7,2020,Yes,Other/Missing
Female,0 - 9 Years,216,0,7,2020,Yes,White
Female,0 - 9 Years,207,1,7,2020,Yes,Black
Female,0 - 9 Years,16,0,7,2020,Yes,Asian
Female,0 - 9 Years,6997,4,8,2020,No,Hispanic
Female,0 - 9 Years,6872,2,8,2020,No,Other/Missing
Female,0 - 9 Years,3938,2,8,2020,No,White
Female,0 - 9 Years,398,0,8,2020,No,Asian
Female,0 - 9 Years,2225,1,8,2020,No,Black
Female,0 - 9 Years,121,0,8,2020,Yes,Black
Female,0 - 9 Years,201,0,8,2020,Yes,Hispanic
Female,0 - 9 Years,85,0,8,2020,Yes,Other/Missing
Female,0 - 9 Years,236,0,8,2020,Yes,White
Female,0 - 9 Years,7,0,8,2020,Yes,Asian
Female,0 - 9 Years,6486,0,9,2020,No,Other/Missing
Female,0 - 9 Years,5218,0,9,2020,No,White
Female,0 - 9 Years,5160,1,9,2020,No,Hispanic
Female,0 - 9 Years,1642,1,9,2020,No,Black
Female,0 - 9 Years,297,0,9,2020,No,Asian
Female,0 - 9 Years,289,0,9,2020,Yes,White
Female,0 - 9 Years,107,0,9,2020,Yes,Black
Female,0 - 9 Years,73,0,9,2020,Yes,Other/Missing
Female,0 - 9 Years,118,0,9,2020,Yes,Hispanic
Female,0 - 9 Years,6,0,9,2020,Yes,Asian
Female,0 - 9 Years,12526,0,10,2020,No,Other/Missing
Female,0 - 9 Years,10621,0,10,2020,No,White
Female,0 - 9 Years,8368,0,10,2020,No,Hispanic
Female,0 - 9 Years,2356,1,10,2020,No,Black
Female,0 - 9 Years,672,0,10,2020,No,Asian
Female,0 - 9 Years,152,0,10,2020,Yes,Black
Female,0 - 9 Years,428,0,10,2020,Yes,White
Female,0 - 9 Years,110,0,10,2020,Yes,Other/Missing
Female,0 - 9 Years,157,0,10,2020,Yes,Hispanic
Female,0 - 9 Years,12,0,10,2020,Yes,Asian
Female,0 - 9 Years,21515,1,11,2020,No,White
Female,0 - 9 Years,16041,0,11,2020,No,Hispanic
Female,0 - 9 Years,28696,2,11,2020,No,Other/Missing
Female,0 - 9 Years,3792,1,11,2020,No,Black
Female,0 - 9 Years,1353,0,11,2020,No,Asian
Female,0 - 9 Years,666,1,11,2020,Yes,White
Female,0 - 9 Years,185,0,11,2020,Yes,Other/Missing
Female,0 - 9 Years,196,1,11,2020,Yes,Black
Female,0 - 9 Years,255,2,11,2020,Yes,Hispanic
Female,0 - 9 Years,14,0,11,2020,Yes,Asian
Female,0 - 9 Years,26563,4,12,2020,No,White
Female,0 - 9 Years,45070,1,12,2020,No,Other/Missing
Female,0 - 9 Years,6187,0,12,2020,No,Black
Female,0 - 9 Years,27053,1,12,2020,No,Hispanic
Female,0 - 9 Years,2368,0,12,2020,No,Asian
Female,0 - 9 Years,267,0,12,2020,Yes,Black
Female,0 - 9 Years,268,0,12,2020,Yes,Other/Missing
Female,0 - 9 Years,849,2,12,2020,Yes,White
Female,0 - 9 Years,397,0,12,2020,Yes,Hispanic
Female,0 - 9 Years,33,0,12,2020,Yes,Asian
Female,0 - 9 Years,27120,1,1,2021,No,Hispanic
Female,0 - 9 Years,38569,3,1,2021,No,Other/Missing
Female,0 - 9 Years,25270,2,1,2021,No,White
Female,0 - 9 Years,7373,2,1,2021,No,Black
Female,0 - 9 Years,2438,0,1,2021,No,Asian
Female,0 - 9 Years,737,0,1,2021,Yes,White
Female,0 - 9 Years,269,0,1,2021,Yes,Other/Missing
Female,0 - 9 Years,343,0,1,2021,Yes,Black
Female,0 - 9 Years,487,0,1,2021,Yes,Hispanic
Female,0 - 9 Years,35,0,1,2021,Yes,Asian
Female,0 - 9 Years,17269,4,2,2021,No,Other/Missing
Female,0 - 9 Years,14104,5,2,2021,No,White
Female,0 - 9 Years,4119,2,2,2021,No,Black
Female,0 - 9 Years,10608,1,2,2021,No,Hispanic
Female,0 - 9 Years,1180,0,2,2021,No,Asian
Female,0 - 9 Years,294,0,2,2021,Yes,White
Female,0 - 9 Years,273,0,2,2021,Yes,Hispanic
Female,0 - 9 Years,142,0,2,2021,Yes,Black
Female,0 - 9 Years,147,0,2,2021,Yes,Other/Missing
Female,0 - 9 Years,32,0,2,2021,Yes,Asian
Female,0 - 9 Years,17626,4,3,2021,No,Other/Missing
Female,0 - 9 Years,13617,3,3,2021,No,White
Female,0 - 9 Years,4350,1,3,2021,No,Black
Female,0 - 9 Years,1087,0,3,2021,No,Asian
Female,0 - 9 Years,9812,3,3,2021,No,Hispanic
Female,0 - 9 Years,259,0,3,2021,Yes,Hispanic
Female,0 - 9 Years,163,0,3,2021,Yes,Other/Missing
Female,0 - 9 Years,137,0,3,2021,Yes,Black
Female,0 - 9 Years,225,0,3,2021,Yes,White
Female,0 - 9 Years,19,0,3,2021,Yes,Asian
Female,0 - 9 Years,10331,1,4,2021,No,Other/Missing
Female,0 - 9 Years,4250,1,4,2021,No,Hispanic
Female,0 - 9 Years,6846,0,4,2021,No,White
Female,0 - 9 Years,2595,0,4,2021,No,Black
Female,0 - 9 Years,574,0,4,2021,No,Asian
Female,0 - 9 Years,85,0,4,2021,Yes,Other/Missing
Female,0 - 9 Years,146,0,4,2021,Yes,White
Female,0 - 9 Years,87,0,4,2021,Yes,Black
Female,0 - 9 Years,117,0,4,2021,Yes,Hispanic
Female,0 - 9 Years,6,0,4,2021,Yes,Asian
Male,0 - 9 Years,2,0,1,2020,Yes,White
Male,0 - 9 Years,1,0,1,2020,Yes,Black
Male,0 - 9 Years,18,0,1,2020,No,White
Male,0 - 9 Years,29,0,1,2020,No,Other/Missing
Male,0 - 9 Years,8,0,1,2020,No,Hispanic
Male,0 - 9 Years,2,0,1,2020,No,Asian
Male,0 - 9 Years,4,0,1,2020,No,Black
Male,0 - 9 Years,1,0,2,2020,Yes,Hispanic
Male,0 - 9 Years,5,0,2,2020,No,Hispanic
Male,0 - 9 Years,12,0,2,2020,No,White
Male,0 - 9 Years,12,0,2,2020,No,Other/Missing
Male,0 - 9 Years,5,0,2,2020,No,Black
Male,0 - 9 Years,1,0,2,2020,Yes,Other/Missing
Male,0 - 9 Years,2,0,2,2020,No,Asian
Male,0 - 9 Years,701,1,3,2020,No,Other/Missing
Male,0 - 9 Years,229,2,3,2020,No,White
Male,0 - 9 Years,97,2,3,2020,No,Black
Male,0 - 9 Years,260,2,3,2020,No,Hispanic
Male,0 - 9 Years,29,0,3,2020,No,Asian
Male,0 - 9 Years,14,0,3,2020,Yes,Black
Male,0 - 9 Years,42,2,3,2020,Yes,Hispanic
Male,0 - 9 Years,37,0,3,2020,Yes,White
Male,0 - 9 Years,48,0,3,2020,Yes,Other/Missing
Male,0 - 9 Years,6,0,3,2020,Yes,Asian
Male,0 - 9 Years,415,0,4,2020,No,Black
Male,0 - 9 Years,1587,2,4,2020,No,Hispanic
Male,0 - 9 Years,2160,4,4,2020,No,Other/Missing
Male,0 - 9 Years,535,3,4,2020,No,White
Male,0 - 9 Years,124,0,4,2020,No,Asian
Male,0 - 9 Years,99,2,4,2020,Yes,Other/Missing
Male,0 - 9 Years,124,1,4,2020,Yes,Hispanic
Male,0 - 9 Years,68,1,4,2020,Yes,Black
