sex,age_group,Total_cases,Total_deaths,Month,Year,Medcond,Race_ethnicity
Female,0 - 9 Years,9,0,1,2020,No,Hispanic
Female,0 - 9 Years,1,0,1,2020,Yes,Other/Missing
Female,0 - 9 Years,17,0,1,2020,No,White
Female,0 - 9 Years,4,0,1,2020,No,Black
Female,0 - 9 Years,18,0,1,2020,No,Other/Missing
Female,0 - 9 Years,1,0,1,2020,Yes,Hispanic
Female,0 - 9 Years,1,0,1,2020,Yes,White
Female,0 - 9 Years,1,0,1,2020,Yes,Black
Female,0 - 9 Years,1,0,2,2020,Yes,Other/Missing
Female,0 - 9 Years,4,0,2,2020,No,Hispanic
Female,0 - 9 Years,13,0,2,2020,No,Other/Missing
Female,0 - 9 Years,2,0,2,2020,No,Black
Female,0 - 9 Years,2,0,2,2020,No,White
Female,0 - 9 Years,235,1,3,2020,No,White
Female,0 - 9 Years,27,0,3,2020,No,Asian
Female,0 - 9 Years,225,0,3,2020,No,Hispanic
Female,0 - 9 Years,558,0,3,2020,No,Other/Missing
Female,0 - 9 Years,73,1,3,2020,No,Black
Female,0 - 9 Years,24,0,3,2020,Yes,Other/Missing
Female,0 - 9 Years,27,1,3,2020,Yes,Hispanic
Female,0 - 9 Years,12,1,3,2020,Yes,Black
Female,0 - 9 Years,2,0,3,2020,Yes,Asian
Female,0 - 9 Years,29,0,3,2020,Yes,White
Female,0 - 9 Years,95,1,4,2020,No,Asian
Female,0 - 9 Years,513,2,4,2020,No,White
Female,0 - 9 Years,1914,3,4,2020,No,Other/Missing
Female,0 - 9 Years,1492,0,4,2020,No,Hispanic
Female,0 - 9 Years,435,1,4,2020,No,Black
Female,0 - 9 Years,46,2,4,2020,Yes,White
Female,0 - 9 Years,94,2,4,2020,Yes,Other/Missing
Female,0 - 9 Years,101,1,4,2020,Yes,Hispanic
Female,0 - 9 Years,32,0,4,2020,Yes,Black
Female,0 - 9 Years,8,0,4,2020,Yes,Asian
Female,0 - 9 Years,799,0,5,2020,No,White
Female,0 - 9 Years,167,0,5,2020,No,Asian
Female,0 - 9 Years,3744,1,5,2020,No,Hispanic
Female,0 - 9 Years,3202,0,5,2020,No,Other/Missing
Female,0 - 9 Years,904,0,5,2020,No,Black
Female,0 - 9 Years,20,0,5,2020,Yes,Asian
Female,0 - 9 Years,77,1,5,2020,Yes,White
Female,0 - 9 Years,218,0,5,2020,Yes,Hispanic
Female,0 - 9 Years,130,1,5,2020,Yes,Other/Missing
Female,0 - 9 Years,88,0,5,2020,Yes,Black
Female,0 - 9 Years,1800,1,6,2020,No,White
Female,0 - 9 Years,5260,0,6,2020,No,Other/Missing
Female,0 - 9 Years,239,0,6,2020,No,Asian
Female,0 - 9 Years,6786,4,6,2020,No,Hispanic
Female,0 - 9 Years,1385,0,6,2020,No,Black
Female,0 - 9 Years,148,1,6,2020,Yes,White
Female,0 - 9 Years,34,0,6,2020,Yes,Asian
Female,0 - 9 Years,332,0,6,2020,Yes,Hispanic
Female,0 - 9 Years,157,1,6,2020,Yes,Other/Missing
Female,0 - 9 Years,150,0,6,2020,Yes,Black
Female,0 - 9 Years,3943,2,7,2020,No,White
Female,0 - 9 Years,335,0,7,2020,No,Asian
Female,0 - 9 Years,9418,2,7,2020,No,Other/Missing
Female,0 - 9 Years,9235,0,7,2020,No,Hispanic
Female,0 - 9 Years,2742,1,7,2020,No,Black
Female,0 - 9 Years,218,0,7,2020,Yes,White
Female,0 - 9 Years,16,0,7,2020,Yes,Asian
Female,0 - 9 Years,293,0,7,2020,Yes,Hispanic
Female,0 - 9 Years,144,1,7,2020,Yes,Other/Missing
Female,0 - 9 Years,205,1,7,2020,Yes,Black
Female,0 - 9 Years,3769,2,8,2020,No,White
Female,0 - 9 Years,387,0,8,2020,No,Asian
Female,0 - 9 Years,7179,2,8,2020,No,Other/Missing
Female,0 - 9 Years,6996,4,8,2020,No,Hispanic
Female,0 - 9 Years,2131,1,8,2020,No,Black
Female,0 - 9 Years,243,0,8,2020,Yes,White
Female,0 - 9 Years,204,0,8,2020,Yes,Hispanic
Female,0 - 9 Years,89,0,8,2020,Yes,Other/Missing
Female,0 - 9 Years,120,0,8,2020,Yes,Black
Female,0 - 9 Years,7,0,8,2020,Yes,Asian
Female,0 - 9 Years,4965,0,9,2020,No,White
Female,0 - 9 Years,270,0,9,2020,No,Asian
Female,0 - 9 Years,6853,0,9,2020,No,Other/Missing
Female,0 - 9 Years,5166,1,9,2020,No,Hispanic
Female,0 - 9 Years,1566,1,9,2020,No,Black
Female,0 - 9 Years,295,0,9,2020,Yes,White
Female,0 - 9 Years,6,0,9,2020,Yes,Asian
Female,0 - 9 Years,118,0,9,2020,Yes,Hispanic
Female,0 - 9 Years,107,0,9,2020,Yes,Black
Female,0 - 9 Years,76,0,9,2020,Yes,Other/Missing
Female,0 - 9 Years,9974,0,10,2020,No,White
